,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
537,классный,лучший,любимый,Экономический факультет,6,no,2.0,3,55,66,65,77,91,8,1.0,3,18,1,6,1,английский,,,,7
538,престижный,востребованный, труднодостигаемый,Юридический факультет,8,yes,1.0,5,56,87,83,56,58,7,1.0,2,17,2,6,1,английский,,,,2
539,интересный, сложный, увлекательный,Факультет государственного управления,7,no,2.0,5,52,72,83,58,84,7,2.0,2,18,1,4,2,английский,немецкий,,,4
540,престижный, комфортный,,Высшая школа современных социальных наук факультет,6,no,1.0,1,77,87,72,97,65,8,2.0,2,18,1,4,2,английский,немецкий,,,3
541,умный серьезный престижный,,,Экономический факультет,10,yes,1.0,1,68,71,58,83,54,8,1.0,2,17,1,5,1,английский,,,,3
542,приоритетный, перспективный,интересный,Экономический факультет,10,no,2.0,5,48,100,90,90,98,10,1.0,2,17,1,7,1,английский,,,,3
544,серьезный,желанный,привлекательный,Юридический факультет,7,no,2.0,1,66,82,75,93,65,6,1.0,3,16,1,6,1,английский,,,,3
550,занимательный,воодушевляющий,интересный,Факультет государственного управления,7,no,2.0,5,90,98,98,98,65,7,3.0,3,17,1,7,2,английский,немецкий,,,3
551,престижный, интересный, перспективный,Исторический факультет,8,yes,1.0,4,72,92,83,87,58,7,1.0,2,17,2,6,2,английский,французский,,,7
552,развивающий, обучающий , экономический,Экономический факультет,6,no,4.0,1,56,57,70,66,55,7,1.0,3,17,1,6,1,английский,,,,2
553,работу не найти, интересный, потрясающий,Филологический факультет,8,yes,1.0,3,68,69,78,66,56,5,1.0,2,18,1,6,1,английский,,,,3
554,мудрый, перспективный, желанный,Исторический факультет,5,no,2.0,1,77,84,78,88,46,5,3.0,2,17,1,4,2,английский,французский,,,3
555,интересный,захватывающий,политологический,Факультет политологии,8,no,2.0,1,85,100,65,88,58,7,2.0,3,17,1,4,2,французский,английский,,,2
556,стабильность, интересный, иностранный язык,Факультет мировой политики,7,no,2.0,2,53,58,53,54,48,6,1.0,2,17,1,5,1,английский,,,,3
557,перспективный,лучший, интересный,Экономический факультет,9,no,4.0,1,92,90,88,99,65,9,1.0,3,17,2,5,2,английский,немецкий,,,2
558,востребованный, современный,эффективный,Экономический факультет,6,yes,3.0,2,40,66,45,56,58,6,2.0,2,18,1,6,1,английский,,,,3
559,интересный,,,Экономический факультет,7,no,1.0,1,77,87,90,80,55,8,1.0,2,18,1,4,2,английский,французский,,,5
560,перспективный, с общительными студентами, современный,Факультет глобальных процессов,10,no,1.0,1,79,87,90,90,56,10,2.0,2,17,1,6,1,английский,,,,3
561,милый, фундаментальный, хороший,Физический факультет,7,no,1.0,7,68,98,75,93,46,7,2.0,2,17,1,5,2,английский,немецкий,,,2
562,престижный, хороший, современный,Юридический факультет,4,yes,1.0,1,52,95,71,37,58,7,2.0,2,17,2,4,1,английский,,,,3
563,перспективный интересный желанный,,,Исторический факультет,7,yes,2.0,1,70,98,93,95,48,8,2.0,2,17,2,7,2,английский,немецкий,,,1
564,классический, большой, естественнонаучный,Химический факультет,8,no,1.0,1,72,65,72,54,65,2,1.0,3,18,1,6,2,английский,казахский,,,4
565,интересный, престижный, перспективный,Экономический факультет,3,no,2.0,1,66,87,88,73,58,3,2.0,2,18,2,7,1,английский,,,,3
566,высокоинтеллектуальный,,,Факультет вычислительной математики и кибернетики,7,no,2.0,2,60,100,88,72,100,8,2.0,2,18,2,4,1,английский,,,,3
567,перспективный, творческий, престижный,Исторический факультет,10,no,2.0,1,80,90,75,84,70,8,2.0,3,18,2,4,1,английский,,,,3
568,интересный увлекательный познавательный,,,Факультет государственного управления,7,yes,1.0,1,32,82,58,73,56,7,3.0,2,17,2,5,3,английский,французский,китайский,,2
573,современный,эффективный,престижный,Экономический факультет,6,no,2.0,5,96,89,90,94,94,6,2.0,2,18,2,7,1,английский,,,,3
575,перспективный, успешный, известный,Экономический факультет,6,yes,1.0,7,63,56,93,66,91,5,3.0,1,18,2,6,1,английский,,,,2
576,престижный, востребованный, красивый,Экономический факультет,9,no,1.0,2,60,62,55,97,91,8,1.0,3,18,1,5,2,английский,французский,,,3
577,серьезный, многопрофильный,,Социологический факультет,9,no,1.0,1.5,72,84,63,75,66,8,1.0,1,18,2,5,2,английский,немецкий,,,3
578,интересный, всеобъемлющий, универсальный,Философский факультет,10,no,1.0,1,60,98,54,93,98,10,2.0,2,17,2,4,1,английский,,,,3
580,фундаментальный,интересный,,Исторический факультет,8,yes,2.0,1,72,79,90,66,79,7,2.0,2,18,1,4,1,английский,,,,3
581,дорогой, новый, хороший,Высшая школа бизнеса факультет,7,no,1.0,1,60,82,65,65,58,6,3.0,3,16,2,5,2,английский,японский,,,2
